CONTINENT,COUNTRY,PRODUCT_TYPE,PRODUCT_ID,SKU,PRODUCT_NAME,PRODUCT_DESCRIPTION,ORIGINAL_PRICE,SELLING_PRICE,BRAND,FULL_SIZE_IMAGES
AMERICAS,USA,REGULAR,prod_id_Ford_Mustang_GT,sku_Ford_Mustang_GT,Ford Mustang GT,One of the most unique best looking piece of automotive that exist,50000,50000,Ford,https://bringatrailer.com/wp-content/uploads/2018/09/1969_ford_mustang_mach_1_428_cobra_jet_1538580082f7ebd598f3c19Mach-1-4.jpg?w=940
EUROPE,GERMANY,REGULAR,prod_id_Porsche_917,sku_Porsche_917,Porsche 917,One of the most unique best looking piece of automotive that exist,14000000,14000000,Porsche,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/2006FOS_1970Porsche917KGulf.jpg/280px-2006FOS_1970Porsche917KGulf.jpg
EUROPE,GERMANY,REGULAR,prod_id_Porsche_919_Hybrid,sku_Porsche_919_Hybrid,Porsche 919 Hybrid,Faster than modern F1 cars beating decades old track records,25000000,25000000,Porsche,https://media.evo.co.uk/image/upload/t_content-image-desktop@1/v1571410826/evo/2019/10/Porsche%20919%20Hybrid%20drive%20.jpg
EUROPE,ITALY,REGULAR,prod_id_Lamborghini_Veneno,sku_Lamborghini_Veneno,Lamborghini Veneno,One of the most unique best looking piece of automotive that exist,4500000,4500000,Lamborghini,https://www.alainclass.com/wp-content/uploads/2019/07/1170-desi-VENENO-47-copy.jpg
EUROPE,ITALY,REGULAR,prod_id_Lamborghini_Sesto_Elemento,sku_Lamborghini_Sesto_Elemento,Lamborghini Sesto Elemento,One of the most unique best looking piece of automotive that exist,2200000,2200000,Lamborghini,https://images.hgmsites.net/hug/lamborghini-sesto-elemento_100430042_h.jpg
EUROPE,ITALY,REGULAR,prod_id_Lamborghini_Centenario,sku_Lamborghini_Centenario,Lamborghini Centenario,One of the most unique best looking piece of automotive that exist,1900000,1900000,Lamborghini,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcSfk8We4AxWkjdgqjMZPE0iXw6UQQJzEr0JrA&usqp=CAU
EUROPE,ITALY,REGULAR,prod_id_Ferrari_Enzo,sku_Ferrari_Enzo,Ferrari Enzo,Named after Enzo himself,1000000,1000000,Ferrari,https://www.classicdriver.com/sites/default/files/cars_images/feed_701314/b0e579054dde70681f91b0a4fb708f1c989babff.jpg
EUROPE,ITALY,REGULAR,prod_id_Ferrari_LaFerrari,sku_Ferrari_LaFerrari,Ferrari LaFerrari,One of the three holy trinity,2200000,2200000,Ferrari,https://static.cargurus.com/images/forsale/2020/07/10/01/22/2014_ferrari_laferrari-pic-6227541102714607579-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp
EUROPE,FRANCE,REGULAR,prod_id_Bugatti_Chiron,sku_Bugatti_Chiron,Bugatti Chiron,One of the most unique best looking piece of automotive that exist,3000000,3000000,Bugatti,https://images.hgmsites.net/hug/bugatti-chiron-pur-sport_100747903_h.jpg
EUROPE,FRANCE,REGULAR,prod_id_Bugatti_Divo,sku_Bugatti_Divo,Bugatti Divo,One of the most unique best looking piece of automotive that exist,5400000,5400000,Bugatti,https://www.autocar.co.uk/sites/autocar.co.uk/files/images/car-reviews/first-drives/legacy/1-bugatti-divo-2020-fd-hero-front.jpg
